Nova SBE  Student Clubs (Source: novasu.pt/clubs);;;;;;
Skills and career relevance tagged using the same keys as the courses database. Use this sheet to suggest clubs to students in the simulator.;;;;;;
Club Name;Category;Description;Career Relevance;Skills Built;Instagram;Notes
Nova Investment Club - UD;Finance & Investment;Inspires students to explore financial markets, bridging academics and the corporate world through workshops, events, and professional exposure.;investment_banking, tech;analytical, technical, networking;instagram.com/novainvestmentclub_ud/;
Nova VCPE Club;Finance & Investment;Connects students to the venture capital and private equity industries through training programs, projects with leading funds, and networking events.;investment_banking, entrepreneurship;analytical, technical, networking, business_strategy;instagram.com/novavcpeclub/;
Portfolio Management Club;Finance & Investment;Focuses on asset management by providing insights into investments, macroeconomics, and quantitative research, preparing students for careers in the financial sector.;investment_banking;analytical, technical, business_strategy;instagram.com/pmcnovasbe/;
Nova SBE Mergers & Acquisitions Student Club;Finance & Investment;Community of ambitious students united by a shared passion for M&A. Deepens expertise, broadens networks, and provides meaningful insights into the complex M&A landscape.;investment_banking, consulting;analytical, technical, networking, business_strategy;instagram.com/novamaclub/;
Social Investment Fund;Finance & Investment;Operates at the intersection of finance and social impact, enabling students to engage in initiatives that combine profitability with meaningful change.;investment_banking, sustainability;analytical, business_strategy, networking;instagram.com/socialinvestmentfund/;
Nova Real Estate Club;Finance & Investment;Bridges the gap between students and the real estate market, fostering engagement and providing insights into industry trends and opportunities.;investment_banking;analytical, networking, business_strategy;instagram.com/nova_real_estate_club/;
Nova Junior Consulting;Consulting & Strategy;Nova SBE's Junior Enterprise — a professional student-run consulting firm providing strategic, financial, and management solutions to real clients.;consulting, entrepreneurship;business_strategy, analytical, communication, leadership;instagram.com/novajuniorconsulting/;
Nova Case Team;Consulting & Strategy;Dedicated case-solving club focused on developing analytical, problem-solving, and strategic thinking skills by tackling real-world business scenarios.;consulting;analytical, business_strategy, communication;instagram.com/novacaseteam/;
Nova Social Consulting;Consulting & Strategy;Empowers Portugal's social sector by offering pro-bono consulting services to NGOs, nonprofits, and social entrepreneurs.;consulting, sustainability;business_strategy, communication, leadership;instagram.com/novasocialconsulting/;
NOMA Marketing Consulting;Marketing & Sales;Nova SBE's student-run marketing consulting firm providing strategic solutions to real-world marketing challenges.;marketing, consulting;communication, business_strategy, analytical;instagram.com/noma.marketing.consulting/;
Nova Sales Club;Marketing & Sales;Dedicated to equipping students with skills, knowledge, and real-world experience in sales, shaping entrepreneurs, leaders, and business professionals.;marketing, entrepreneurship;communication, networking, business_strategy;instagram.com/novasalesclub/;
Nova Luxury Society;Marketing & Sales;Unites students passionate about the luxury industry, offering networking opportunities, professional insights, and exposure to industry leaders.;marketing;networking, communication, business_strategy;instagram.com/novaluxurysociety/;
