Company;Category;Application Timing;Key Evaluation Criteria;Typical Requirements
McKinsey & Company;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Boston Consulting Group;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Bain & Company;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Strategy&;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Oliver Wyman;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Kearney;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Roland Berger;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
L.E.K. Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
OC&C Strategy Consultants;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Arthur D. Little;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Alvarez & Marsal;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Deloitte;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
PwC;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
EY;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
KPMG;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Accenture;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Capgemini Invent;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
IBM Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
BearingPoint;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
FTI Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
AlixPartners;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
West Monroe;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
ZS Associates;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Simon-Kucher;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
CIL Management Consultants;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Teneo;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
